Device,Constraint,Timeout,MER,SL,BC
9803/9805|fd34::0017:0d00:0030:dfe8,0.7,9.31,0.06093093897971946,0.31,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.8,9.31,0.06093093897971946,0.31,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.9,9.41,0.01943178772447063,0.41,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,1.0,9.41,0.0,10.85,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.1,856.88,0.5021645021645021,3.88,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.2,856.88,0.5021645021645021,3.88,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.3,856.98,0.2857142857142857,3.9,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.4,856.98,0.2857142857142857,3.9,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.5,856.98,0.2857142857142857,3.9,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.6,857.08,0.1558441558441559,3.96,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.7,857.08,0.1558441558441559,3.96,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.8,857.18,0.06060606060606055,4.04,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.9,857.18,0.06060606060606055,4.04,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,1.0,857.18,0.0,848.17,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.1,57.07,0.7932801822323463,0.3,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.2,57.17,0.22978359908883828,0.29,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.3,57.17,0.22978359908883828,0.29,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.4,57.17,0.22978359908883828,0.29,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.5,57.17,0.22978359908883828,0.29,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.6,57.17,0.22978359908883828,0.29,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.7,57.27,0.05894077448747148,0.37,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.8,57.27,0.05894077448747148,0.37,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.9,57.37,0.029897494305239136,0.46,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,1.0,57.37,0.0,54.57,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.1,808.88,0.467741935483871,3.37,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.2,808.88,0.467741935483871,3.37,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.3,808.98,0.15322580645161288,3.41,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.4,808.98,0.15322580645161288,3.41,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.5,808.98,0.15322580645161288,3.41,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.6,808.98,0.15322580645161288,3.41,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.7,809.08,0.05241935483870963,3.49,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.8,809.08,0.05241935483870963,3.49,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.9,809.08,0.05241935483870963,3.49,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,1.0,809.08,0.0,802.42,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.1,107.85,0.452699091394976,0.4,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.2,107.85,0.452699091394976,0.4,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.3,107.85,0.452699091394976,0.4,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.4,107.95,0.0598610368786745,0.46,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.5,107.95,0.0598610368786745,0.46,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.6,107.95,0.0598610368786745,0.46,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.7,107.95,0.0598610368786745,0.46,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.8,107.95,0.0598610368786745,0.46,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.9,108.05,0.018172100481026243,0.55,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,1.0,108.05,0.0,104.95,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.1,823.38,0.38367346938775515,0.12,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.2,823.38,0.38367346938775515,0.12,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.3,823.38,0.38367346938775515,0.12,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.4,823.48,0.2081632653061225,0.16,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.5,823.48,0.2081632653061225,0.16,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.6,823.58,0.05714285714285716,0.23,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.7,823.58,0.05714285714285716,0.23,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.8,823.58,0.05714285714285716,0.23,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.9,823.68,0.008163265306122436,0.33,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,1.0,823.68,0.0,0.47,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.1,54.85,0.7371444201312911,0.28,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.2,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.3,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.4,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.5,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.6,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.7,54.95,0.1323851203501094,0.29,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.8,55.05,0.03473741794310725,0.38,0.0
