Series;Time;Value
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:19:28.012;111.33
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:21:19.161;111.15
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:23:10.803;111.65
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:25:01.940;111.13
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:26:53.068;111.12
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:28:44.448;111.38
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:30:35.679;111.22
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:32:26.968;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:34:18.102;111.14
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:36:09.414;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:38:01.048;111.64
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:39:52.033;110.99
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:41:43.318;111.28
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:43:34.459;111.14
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:45:25.918;111.46
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:47:17.236;111.31
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:49:08.377;111.14
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:50:59.695;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:52:51.330;111.64
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:54:42.467;111.13
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:56:33.667;111.2
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:58:24.762;111.1
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:00:16.212;111.45
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:02:07.510;111.29
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:03:58.637;111.14
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:05:49.961;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:07:41.598;111.64
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:09:32.565;110.97
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:11:23.878;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:13:15.298;111.41
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:15:06.529;111.23
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:16:57.862;111.34
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:18:49.161;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:20:40.246;111.09
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:22:31.908;111.66
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:24:22.809;110.9
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:26:14.140;111.33
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:28:05.536;111.39
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:29:56.754;111.22
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:31:48.061;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:33:39.570;111.5
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:35:30.507;110.95
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:37:22.187;111.67
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:39:13.109;110.92
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:41:04.524;111.39
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:42:55.784;111.29
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:44:47.061;111.27
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:46:38.317;111.26
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:48:29.695;111.38
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:50:21.123;111.44
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:52:12.433;111.31
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:54:03.614;111.18
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:55:54.922;111.31
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:57:46.090;111.17
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:59:37.290;111.19
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:01:28.581;111.29
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:03:19.939;111.35
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:05:11.390;111.46
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:07:02.727;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:08:53.840;111.12
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:10:45.166;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T16:12:36.881;111.72
