Series;Time;Value
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:17:36.688;0.21
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:19:28.012;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:21:19.161;0.07
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:23:10.803;0.47
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:25:01.940;0.29
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:26:53.068;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:28:44.448;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:30:35.679;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:32:26.968;0.22
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:34:18.102;0.09
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:36:09.414;0.09
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:38:01.048;0.47
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:39:52.033;0.17
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:41:43.318;0.18
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:43:34.459;0.01
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:45:25.918;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:47:17.236;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:49:08.377;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:50:59.695;0.14
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:52:51.330;0.5
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:54:42.467;0.35
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:56:33.667;0.21
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:58:24.762;0.06
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:00:16.212;0.21
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:02:07.510;0.21
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:03:58.637;0.08
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:05:49.961;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:07:41.598;0.44
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:09:32.565;0.14
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:11:23.878;0.16
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:13:15.298;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:15:06.529;0.23
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:16:57.862;0.28
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:18:49.161;0.27
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:20:40.246;0.07
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:22:31.908;0.44
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:24:22.809;0.04
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:26:14.140;0.1
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:28:05.536;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:29:56.754;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T15:31:48.061;0.18
