Series;Time;Value
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:53:30.202;0.44
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:55:21.352;0.3
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:57:12.506;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:59:03.908;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:00:55.114;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:02:46.379;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:04:37.549;0.06
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:06:28.847;0.07
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:08:20.483;0.45
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:10:11.640;0.32
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:12:02.810;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:13:54.203;0.28
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:15:45.397;0.18
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:17:36.688;0.21
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:19:28.012;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:21:19.161;0.07
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:23:10.803;0.47
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:25:01.940;0.29
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:26:53.068;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:28:44.448;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:30:35.679;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T14:32:26.968;0.22
